fid,VALUE,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,layer,path,SAMPLE_TWI1,SAMPLE_SPI1,SAMPLE_slope1,SAMPLE_aspect1,SAMPLE_flow1,SAMPLE_road1,SAMPLE_river1,SAMPLE_LC1,SAMPLE_LC1_2,x,y,SAMPLE_rainfall1,SAMPLE_rainfall2
78,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371747.428588351,,,,7.98807334899902,19003.7421875,22.2721004486084,63.9704055786133,853.253295898438,7969.89990234375,1039.66333007812,4,287.752990722656,371747.428588351,3056893.43293994,287.752990722656,255
79,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364561.645577271,,,,9.90357971191406,10865.833984375,6.36729669570923,327.52880859375,1706.50659179688,3512.94750976562,67.0820388793945,7,260.539031982422,364561.645577271,3056104.74943908,260.539031982422,255
80,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356733.231565201,,,,10.3243350982666,21538.37890625,12.6213274002075,116.075355529785,1706.50659179688,408.044128417969,216.333068847656,7,275.702453613281,356733.231565201,3056221.5914392,275.702453613281,255
81,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367044.5380811,,,,13.1954402923584,2349550.5,6.84984493255615,265.914367675781,343007.84375,4955.90576171875,874.642822265625,4,266.797729492188,367044.5380811,3056922.64343998,266.797729492188,255
82,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366664.801580514,,,,9.08811664581299,34846.796875,6.80665302276611,284.534454345703,5119.52001953125,5274.71337890625,894.986083984375,7,268.089447021484,366664.801580514,3057390.01144049,268.089447021484,255
83,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364941.382077857,,,,4.19759941101074,5291.2177734375,1.55030679702759,108.434951782227,3413.01318359375,4607.22265625,0,7,263.7373046875,364941.382077857,3057156.32744023,263.7373046875,255
84,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383811.365106952,,,,9.18023586273193,27101.115234375,15.881049156189,105.708641052246,1706.50659179688,8762.1572265625,456.946380615234,4,355.571533203125,383811.365106952,3000341.90487724,355.571533203125,255
85,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398182.931129111,,,,5.44483709335327,11835.6171875,13.8711652755737,27.8972702026367,853.253295898438,1328.15661621094,846.935607910156,4,327.481842041016,398182.931129112,3000838.48337778,327.481842041016,255
86,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371922.691588621,,,,,81349.234375,23.8350200653076,86.1120910644531,3413.01318359375,8932.7998046875,300,7,295.900024414062,371922.691588621,3058120.2739413,295.900024414062,255
87,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358515.072067948,,,,9.0584020614624,16167.0654296875,18.9475574493408,184.289154052734,853.253295898438,2724.72021484375,833.546630859375,7,270.559600830078,358515.072067948,3058412.37894162,270.559600830078,255
88,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400315.297632399,,,,,15183.9140625,17.7953186035156,90.7639007568359,853.253295898438,5835.5205078125,180,4,308.950927734375,400315.297632399,2991783.22836781,308.950927734375,255
89,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389010.834114969,,,,,15879.1318359375,9.30505180358887,220.763610839844,1706.50659179688,2971.2119140625,339.411254882812,4,333.987091064453,389010.834114969,2992016.91236807,333.987091064453,255
90,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376888.476596278,,,,,4728202,20.9108734130859,285.592803955078,226112.125,8873.15625,958.592712402344,7,296.652770996094,376888.476596278,3051956.85843451,296.652770996094,255
91,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390529.780117311,,,,14.0411825180054,4730238.5,1.25000405311584,258.690063476562,3784178.5,1350,42.4264068603516,7,328.842712402344,390529.780117311,2991140.5973671,328.842712402344,255
92,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369965.588085604,,,,11.1640348434448,193826.3125,25.2401676177979,254.197479248047,7679.27978515625,4203.85546875,496.58837890625,4,256.585510253906,369965.588085604,3051372.64843386,256.585510253906,255
93,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397277.405627715,,,,,19021.373046875,11.1463813781738,92.4895553588867,1706.50659179688,3034.00732421875,60,4,313.053894042969,397277.405627715,2991520.33386752,313.053894042969,255
94,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382175.57710443,,,,8.2919921875,5857.162109375,0.980643689632416,180,5972.77294921875,9226.8408203125,90,5,340.998870849609,382175.57710443,2991257.43936723,340.998870849609,255
